,FOOD NAME,GROUP
889,Green zucchini,Gourds
890,Yellow zucchini,Gourds
891,Green bell pepper,Vegetables
892,Yellow bell pepper,Vegetables
893,Orange bell pepper,Vegetables
894,Red bell pepper,Vegetables
895,Italian sweet red pepper,Vegetables
896,Yellow wax bean,Pulses
897,Green bean,Pulses
898,Saskatoon berry,Fruits
899,Nanking cherry,Fruits
900,Japanese pumpkin,Gourds
901,White cabbage,Vegetables
902,Romaine lettuce,Vegetables
903,"Cow milk, pasteurized, vitamin A + D added, 0% fat",Milk and milk products
904,"Cow milk, pasteurized, vitamin A + D added, 1% fat",Milk and milk products
905,"Cow milk, pasteurized, vitamin A + D added, 2% fat",Milk and milk products
906,"Cow milk, pasteurized, vitamin D added, 3.25% fat",Milk and milk products
